
Evaluating attack limit K=1
K=1, n=100, m=200, rep=0 | Opt=57.00 | Pred=47.00 | Gap=0.1754 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=1 | Opt=18.00 | Pred=14.00 | Gap=0.2222 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=2 | Opt=35.00 | Pred=34.00 | Gap=0.0286 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=3 | Opt=38.00 | Pred=29.00 | Gap=0.2368 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=4 | Opt=28.00 | Pred=28.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=200, rep=5 | Opt=34.00 | Pred=25.00 | Gap=0.2647 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=6 | Opt=33.00 | Pred=32.00 | Gap=0.0303 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=7 | Opt=19.00 | Pred=19.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=200, rep=8 | Opt=47.00 | Pred=47.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=9 | Opt=29.00 | Pred=27.00 | Gap=0.0690 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=10 | Opt=21.00 | Pred=21.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=200, rep=11 | Opt=41.00 | Pred=41.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=200, rep=12 | Opt=40.00 | Pred=30.00 | Gap=0.2500 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=13 | Opt=40.00 | Pred=40.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=200, rep=14 | Opt=31.00 | Pred=31.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=200, rep=15 | Opt=52.00 | Pred=52.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=16 | Opt=20.00 | Pred=17.00 | Gap=0.1500 | Hamming=2 | Exact=0
K=1, n=100, m=200, rep=17 | Opt=5.00 | Pred=5.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=200, rep=18 | Opt=17.00 | Pred=17.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=200, rep=19 | Opt=40.00 | Pred=36.00 | Gap=0.1000 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=0 | Opt=13.00 | Pred=13.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=250, rep=1 | Opt=33.00 | Pred=31.00 | Gap=0.0606 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=2 | Opt=22.00 | Pred=20.00 | Gap=0.0909 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=3 | Opt=20.00 | Pred=20.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=250, rep=4 | Opt=34.00 | Pred=27.00 | Gap=0.2059 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=5 | Opt=26.00 | Pred=22.00 | Gap=0.1538 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=6 | Opt=15.00 | Pred=15.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=250, rep=7 | Opt=11.00 | Pred=8.00 | Gap=0.2727 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=8 | Opt=22.00 | Pred=20.00 | Gap=0.0909 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=9 | Opt=29.00 | Pred=26.00 | Gap=0.1034 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=10 | Opt=24.00 | Pred=24.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=250, rep=11 | Opt=14.00 | Pred=9.00 | Gap=0.3571 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=12 | Opt=38.00 | Pred=38.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=250, rep=13 | Opt=30.00 | Pred=30.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=250, rep=14 | Opt=45.00 | Pred=41.00 | Gap=0.0889 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=15 | Opt=24.00 | Pred=24.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=250, rep=16 | Opt=20.00 | Pred=17.00 | Gap=0.1500 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=17 | Opt=43.00 | Pred=34.00 | Gap=0.2093 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=18 | Opt=36.00 | Pred=27.00 | Gap=0.2500 | Hamming=2 | Exact=0
K=1, n=100, m=250, rep=19 | Opt=31.00 | Pred=31.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=300, rep=0 | Opt=22.00 | Pred=17.00 | Gap=0.2273 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=1 | Opt=24.00 | Pred=24.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=2 | Opt=31.00 | Pred=31.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=300, rep=3 | Opt=19.00 | Pred=15.00 | Gap=0.2105 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=4 | Opt=50.00 | Pred=49.00 | Gap=0.0200 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=5 | Opt=23.00 | Pred=17.00 | Gap=0.2609 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=6 | Opt=18.00 | Pred=18.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=300, rep=7 | Opt=26.00 | Pred=17.00 | Gap=0.3462 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=8 | Opt=17.00 | Pred=17.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=300, rep=9 | Opt=40.00 | Pred=40.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=10 | Opt=21.00 | Pred=21.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=11 | Opt=31.00 | Pred=25.00 | Gap=0.1935 | Hamming=2 | Exact=0
